name,trip_count,route_count,geometry
Channammanakere Achukattu,82,7,POINT (77.5565 12.9283)
Channammanapalya,8,3,POINT (77.46399 12.7628)
Channappa Circle,51,19,POINT (77.37336 12.91021)
Channapura Gate,5,3,POINT (77.86663 13.10328)
Channarayapatna,15,4,POINT (77.79649 13.24711)
Channarayapatna School,13,3,POINT (77.79689 13.24409)
Channasandra,621,128,POINT (77.52129 12.90285)
Channasandra Colony,160,19,POINT (77.5164 12.90331)
Channegowdana Doddy,7,3,POINT (77.42929 12.80722)
Channenahalli,229,56,POINT (77.43052 12.97786)
Channenahalli Arch,226,54,POINT (77.43545 12.97987)
Chapparadakallu,11,8,POINT (77.62536 13.27904)
Chapradakallu,50,1,POINT (77.62536 13.27924)
Charls School Toll Gate,301,82,POINT (77.62084 13.00616)
Chatra (Yeliyuru Gate),108,11,POINT (77.75845 13.27744)
Cheemachanahalli,13,3,POINT (77.78604 13.21814)
Cheemandahalli,8,3,POINT (77.81171 13.05063)
Cheemandahalli Cross,5,4,POINT (77.81356 13.0449)
Cheemasandra,9,2,POINT (77.86867 13.21365)
Cheemasandra Gate,565,85,POINT (77.74042 13.03878)
Chelekere Circle,4,1,POINT (77.64396 13.0307)
Cheluvayyanapalya,4,1,POINT (77.26465 12.99222)
Chennathimmana Gollahalli Gate,4,2,POINT (77.89828 13.14109)
Chenuvalli,1,1,POINT (77.34711 13.19911)
Chikka Adugodi,14,2,POINT (77.60943 12.92899)
Chikka Arasanahalli,2,1,POINT (77.38128 12.7335)
Chikka Banavara,803,96,POINT (77.50259 13.08053)
Chikka Basti,64,7,POINT (77.47504 12.94466)
Chikka Basti Masjid,175,13,POINT (77.47411 12.94191)
Chikka Beguru,5,3,POINT (77.63767 12.87873)
Chikka Belavagala Gate,20,9,POINT (77.4269 13.19828)
Chikka Bellanduru,22,7,POINT (77.71435 12.91227)
Chikka Bettahalli,1110,51,POINT (77.55624 13.08949)
Chikka Bommasandra Cross,1451,75,POINT (77.58251 13.09353)
Chikka Byalakere,105,27,POINT (77.52156 13.11963)
Chikka Dasarahalli,3,1,POINT (77.78445 12.89201)
Chikka Dasarahalli Cross,23,6,POINT (77.78777 12.88197)
Chikka Devasandra KR Puram,24,5,POINT (77.70583 13.00442)
Chikka Dunnasandra,1,1,POINT (77.76192 12.86297)
Chikka Gollarahatti,592,91,POINT (77.4656 12.99142)
Chikka Gubbi,17,8,POINT (77.66627 13.0805)
Chikka Gubbi Cross,239,53,POINT (77.65434 13.08442)
Chikka Hagade,2,2,POINT (77.69923 12.73354)
Chikka Hagade Gate,235,22,POINT (77.70639 12.73141)
Chikka Haralagere,30,3,POINT (77.825 13.20059)
Chikka Hosahalli,4,2,POINT (77.64521 12.70587)
Chikka Indluwadi,7,3,POINT (77.64069 12.71634)
Chikka Kammanahalli,31,4,POINT (77.59993 12.84966)
Chikka Kodigehalli,10,2,POINT (77.46491 12.97204)
Chikka Kogilu Gate,2,1,POINT (77.82487 13.15719)
Chikka Kukkanahalli,15,10,POINT (77.44891 13.15745)
Chikka Kuntanahalli,6,4,POINT (77.43842 12.79354)
Chikka Kuntanahalli Cross,19,8,POINT (77.43871 12.79216)
Chikka Madhure,28,12,POINT (77.43977 13.2065)
Chikka Mariyappanapalya,40,7,POINT (77.40042 12.93991)
Chikka Maskal,5,1,POINT (77.33055 12.91971)
Chikka Nagamangala,6,3,POINT (77.69495 12.86)
Chikka Nagamangala Gate,40,16,POINT (77.7036 12.85921)
Chikka Nallala,1,1,POINT (77.89533 13.09694)
Chikka Nekkundi,42,11,POINT (77.76583 12.92985)
Chikka Puttaiahnapalya,5,3,POINT (77.3191 13.09713)
Chikka Sanne Gate,364,39,POINT (77.69093 13.23038)
Chikka Tanda Manchenahalli Cross,2,2,POINT (77.35004 13.03781)
Chikka Tattamangala Gate,108,11,POINT (77.76282 13.28017)
Chikka Thataguni,37,8,POINT (77.51418 12.84552)
Chikka Thirupathi,61,20,POINT (77.867 12.89532)
Chikka Thogurupalya,48,9,POINT (77.28287 12.9562)
Chikka Tumkur,2,2,POINT (77.53248 13.26359)
Chikka Tumkur Cross,4,3,POINT (77.53883 13.25273)
Chikka Tumkur Lake,6,2,POINT (77.51903 13.27744)
Chikka Veeraiahanapalya Cross,37,6,POINT (77.43148 13.11427)
Chikka Veeraiahnapalya,40,7,POINT (77.40047 12.94527)
Chikkaballapura,6,1,POINT (77.73199 13.43768)
Chikkabanavara Railway Station,622,84,POINT (77.50465 13.07562)
Chikkabidarakallu,722,108,POINT (77.48774 13.05235)
Chikkagattiganabbe,3,2,POINT (77.79554 13.0416)
Chikkahosahalli Gate,85,2,POINT (77.76307 13.20711)
Chikkahullur,8,4,POINT (77.82485 13.1051)
Chikkajala,1507,103,POINT (77.63318 13.17277)
Chikkallasandra,138,9,POINT (77.55198 12.91507)
Chikkallasandra Aralimara,414,49,POINT (77.55226 12.91168)
Chikkallasandra Bank Colony,277,39,POINT (77.54927 12.90914)
Chikkamaranahalli,5,3,POINT (77.76374 13.25705)
Chikkamaranahalli Colony,8,4,POINT (77.32266 13.09665)
Chikkammanapalya,96,3,POINT (77.42292 12.95049)
Chikkana Hosahalli,5,4,POINT (77.58064 13.21479)
Chikkanahalli,103,40,POINT (77.35521 12.8816)
Chikkanahalli (Railway Gollahalli),1,1,POINT (77.38434 13.18371)
Chikkanahalli Bande,4,3,POINT (77.39042 13.17933)
Chikkanahalli Gate,5,3,POINT (77.90421 13.12559)
Chikkanahalli School,4,3,POINT (77.3866 13.18267)
Chikkanayakanahalli,2,2,POINT (77.69443 12.89224)
Chikkanayakanahalli Dinne,2,2,POINT (77.69706 12.88383)
Chikkegowdanapalya,124,11,POINT (77.51467 12.87877)
Chikkellur Cross,17,7,POINT (77.42158 12.89191)
Chinnaiahnapalya,6,3,POINT (77.65589 12.72257)
Chinnakurchi,13,4,POINT (77.45962 12.82741)
Chinnappa Garden,8,2,POINT (77.60354 13.00302)
Chinnappa Layout,4,1,POINT (77.60958 13.02822)
Chinnaswamy Stadium,71,9,POINT (77.59885 12.97742)
Chinnayyanapalya Silk Farm,395,84,POINT (77.52338 12.85375)
Chinthala Madivala,6,1,POINT (77.71179 12.85266)
Chinthala Madivala Cross,15,4,POINT (77.71233 12.85459)
Chirayu Pali Clinic,2,1,POINT (77.49068 13.04424)
Chitrakala parishath new Campus Srinivasapura,4,1,POINT (77.50754 12.90329)
Chokkahalli Factory Gate,2,1,POINT (77.81861 13.12052)
Chokkahalli Gate,8,4,POINT (77.83213 13.11222)
Chokkanahali Government School,21,6,POINT (77.69131 13.11131)
Chokkanahalli,64,17,POINT (77.62499 13.08235)
Chokkanahalli Gate,361,46,POINT (77.63487 13.08466)
Chokkasandra,4,3,POINT (77.7212 12.87066)
Chokkasandra Cross,45,17,POINT (77.73402 12.87355)
Chokkasandra Gate,2,1,POINT (77.8867 13.18333)
Cholanayakanahalli,65,14,POINT (77.35958 12.96049)
Cholappanahalli Gate,8,4,POINT (77.83923 13.1191)
Choodasandra,3,2,POINT (77.68133 12.88926)
Choodasandra Circle,57,15,POINT (77.67294 12.88855)
Choudappa Layout,80,24,POINT (77.52807 13.10978)
Chowdanahalli,9,4,POINT (77.62861 13.21432)
Chowdappanahalli,29,9,POINT (77.75372 13.14869)
Chowdareddy Circle,434,38,POINT (77.69931 12.71125)
Chowdary Line,5,3,POINT (77.63878 13.00521)
Chowdeshwari Nagara Thataguni,11,3,POINT (77.51893 12.84993)
Chowdeshwari Temple,12,5,POINT (77.69013 12.75914)
Chowdeshwari Temple B Channasandra,12,2,POINT (77.65918 13.01094)
Chowdeshwarinagara,130,18,POINT (77.39944 12.9975)
Chowdeshwarinagara Bus Stand,91,1,POINT (77.52087 13.00135)
Chowdeshwarinagara JP Park,124,15,POINT (77.55432 13.03284)
Chowdeshwarinagara Thataguni,25,4,POINT (77.5188 12.84985)
Christ International School Cross,1,1,POINT (77.89049 12.88587)
Christ School,63,19,POINT (77.51192 12.79915)
Christal House Learning School,72,16,POINT (77.65173 13.09439)
Chudahalli,7,4,POINT (77.48943 12.78225)
Chunchaghatta,11,5,POINT (77.57487 12.88558)
Chunchanakuppe,71,30,POINT (77.3863 12.91041)
Cipla Avalahalli,551,93,POINT (77.73114 13.03263)
City Civil Court,81,20,POINT (77.58243 12.97343)
City Civil Court (CHAKRA),5,1,POINT (77.58237 12.97339)
City Engineering College Vasantha Vallabha Nagara,5,2,POINT (77.55039 12.88746)
Clarence School,152,33,POINT (77.61666 13.00309)
Classic Archid Apartment Kothanuru,4,3,POINT (77.59214 12.87476)
Cloride Metal,1,1,POINT (77.91152 12.93954)
Coca Cola Byramangala,36,6,POINT (77.40412 12.78086)
Coffee Board Layout,13,1,POINT (77.60914 13.04843)
Coffee Day Hope Farm,518,43,POINT (77.75168 12.97987)
Cohera,3,1,POINT (77.74122 13.17322)
Coles Park,1828,211,POINT (77.60829 12.99534)
Coles Road,964,54,POINT (77.61247 12.99632)
College Cross Byadarahalli,645,100,POINT (77.47964 12.98552)
Commando Hospital,810,110,POINT (77.62756 12.96271)
Commercial Street,20,6,POINT (77.60822 12.98163)
Concord Apartment Electronic City,136,21,POINT (77.65185 12.84056)
Concorde Napa Valley,3,1,POINT (77.5121 12.78852)
Corporation,4995,681,POINT (77.58936 12.9682)
Country Club Bagaluru,402,52,POINT (77.63937 13.12348)
Cox Town,32,5,POINT (77.62153 12.99629)
Cross Kenganahalli,9,5,POINT (77.42686 13.04047)
Crown Plaza,251,22,POINT (77.66023 12.85082)
Crystal Apartment Sarjapura Road,578,61,POINT (77.76725 12.86759)
Cubbon Park Metro Station,58,9,POINT (77.59831 12.98068)
Cunningham Road,1508,163,POINT (77.59427 12.98787)
C‌ Q A L,226,12,POINT (77.59326 13.01178)
D Cross Doddaballapura,291,21,POINT (77.54584 13.30654)
D Group Employees Layout,20,6,POINT (77.69091 13.09134)
D Group Employees Layout Srigandhada Kaval,54,5,POINT (77.49874 12.97813)
D Hosahalli,13,11,POINT (77.83242 12.96831)
D Shettihalli Gate,2,1,POINT (77.86833 13.15048)
D Souza Circle,60,9,POINT (77.61106 12.96755)
D Souza Nagara,19,7,POINT (77.53289 12.93199)
DEPOT-19 Gate,7,2,POINT (77.67192 12.84691)
DHFL,610,23,POINT (77.69561 13.19945)
DLF Home Town,3,3,POINT (77.61775 12.87565)
DRDO Quarters,18,8,POINT (77.66133 12.98546)
DSC HAL GM Palya,2,2,POINT (77.66824 12.97659)
DUO Heights Layout,6,2,POINT (77.61468 12.89486)
Daadinayakana Doddy,1,1,POINT (77.94408 12.83955)
Dabaspete,30,3,POINT (77.24144 13.2277)
Dabbaguli,7,2,POINT (77.32275 12.89092)
Dabbaguli Gate,7,2,POINT (77.32808 12.87)
Dabbaguli Gate-2,3,1,POINT (77.31628 12.87945)
Dalai Lama College,181,36,POINT (77.42456 12.85049)
Dalmia Circle,80,16,POINT (77.59505 12.90639)
Damodhar Nagara,3,1,POINT (77.79708 12.9536)
Dandiganahalli,2,2,POINT (77.76763 13.30949)
Dandupalya,3,2,POINT (77.81115 13.07461)
Dandupalya Cross,8,4,POINT (77.81149 13.07638)
Dandupalya Gate,39,13,POINT (77.80786 13.07728)
Dargha,108,11,POINT (77.77446 13.28746)
Darshan Farm,2,2,POINT (77.52682 12.9313)
Dasanapura,755,95,POINT (77.77447 12.74761)
Dasanayakanahalli,3,1,POINT (77.68833 13.11823)
Dasappanapalya,325,19,POINT (77.50591 13.07935)
Dasarahalli,5,1,POINT (77.83611 13.09998)
Dasarahalli Hebbala,12,4,POINT (77.61159 13.05633)
Dasarahalli Kere,102,10,POINT (77.54179 12.98595)
Dasarahalli Road Junction,25,5,POINT (77.59451 13.05573)
Dasegowdarapalya,3,1,POINT (77.39426 13.02347)
Dasenahalli Cross,66,19,POINT (77.46523 13.14087)
Dattatreya Peeta Doddagubbi,21,4,POINT (77.66465 13.06739)
Dattatreya Temple Malleshwara,215,10,POINT (77.57462 12.99895)
Dayananda Sagar College,142,18,POINT (77.5654 12.90949)
Dayananda Sagar Vidya Samste,326,71,POINT (77.51377 12.82479)
Deccan,257,34,POINT (77.62741 12.90247)
Deepa Complex,578,49,POINT (77.50519 12.96698)
Deepak Factory,731,111,POINT (77.50135 13.04749)
Deepak Nursing Home,428,65,POINT (77.57699 12.92518)
Deepanjalinagara,1615,145,POINT (77.53624 12.95375)
Dell,162,13,POINT (77.64044 12.95275)
Dell Domluru,187,11,POINT (77.64065 12.95291)
Depot-02 Shanthinagara,88,1,POINT (77.59488 12.95442)
Depot-03 Shanthinagara,72,1,POINT (77.596 12.95532)
Depot-04 Jayanagara,82,2,POINT (77.59346 12.92489)
Depot-06 Gate,811,181,POINT (77.63434 12.98255)
Depot-06 Indiranagara,94,1,POINT (77.63446 12.98189)
Depot-07 Subhashnagara,106,1,POINT (77.57186 12.97901)
Depot-08 Yashawanthapura,103,2,POINT (77.55551 13.01777)
Depot-09 Peenya,97,2,POINT (77.50022 13.02039)
Depot-10 Gate,488,104,POINT (77.63242 13.02766)
Depot-10 Hennuru,70,2,POINT (77.63233 13.02568)
Depot-11 Puttenahalli,82,2,POINT (77.57947 13.11061)
Depot-12 Gate,628,115,POINT (77.47084 12.90471)
Depot-12 Kengeri,222,4,POINT (77.4727 12.90424)
Depot-13 Kathriguppe,96,1,POINT (77.55434 12.92493)
Depot-14 Gate,28,13,POINT (77.5937 13.02844)
Depot-14 RT Nagara,90,4,POINT (77.59328 13.02868)
Depot-15 Koramangala,75,1,POINT (77.62487 12.9414)
Depot-16 Deepanajalinagara,108,1,POINT (77.53703 12.95136)
Depot-17 Chandra Layout,99,1,POINT (77.52733 12.95897)
Depot-18 White Field,55,1,POINT (77.72596 12.97686)
Depot-19 Electronic City,88,3,POINT (77.67229 12.8474)
Depot-20 Banashankari,89,4,POINT (77.57086 12.91871)
Depot-21 BEML Layout,92,1,POINT (77.52042 12.90673)
Depot-23 Kalyana Nagara,66,2,POINT (77.63895 13.02655)
Depot-24 Gate,333,39,POINT (77.6825 13.00331)
Depot-24 ITI Layout,112,6,POINT (77.68359 13.00163)
Depot-25 Gate,949,41,POINT (77.64495 12.91956)
Depot-25 Gate (Central Silk Board),736,39,POINT (77.64294 12.91952)
Depot-25 HSR Layout,78,1,POINT (77.64457 12.91986)
Depot-26 Yeshawanthapura,96,1,POINT (77.55537 13.0186)
Depot-27 Gate,161,17,POINT (77.63448 12.7801)
Depot-27 Jigani,108,2,POINT (77.63446 12.78019)
Depot-28 Hebbala,73,1,POINT (77.59335 13.04355)
Depot-29 KR Puram,94,2,POINT (77.69175 13.00444)
Depot-30 Puttenahalli,93,2,POINT (77.57762 13.11009)
Depot-31 Gate,643,67,POINT (77.52146 12.99306)
Depot-31 Summanahalli,104,2,POINT (77.52221 12.99285)
Depot-32 Suryacity,114,2,POINT (77.70677 12.79047)
Depot-33 Poornapragna layout,95,1,POINT (77.53606 12.90974)
Depot-34 Gate,224,49,POINT (77.58571 12.87021)
Depot-34 Kottanur,109,2,POINT (77.58616 12.87168)
Depot-35 Gate,158,18,POINT (77.44268 12.9726)
Depot-35 Kannalli,103,1,POINT (77.44263 12.97253)
Depot-36 Bidadi,59,2,POINT (77.41428 12.76888)
Depot-36 Gate,97,9,POINT (77.41403 12.76845)
Depot-37 Kengeri,86,1,POINT (77.48793 12.91344)
Depot-38 Chikkanagamangala,55,2,POINT (77.69176 12.85019)
Depot-38 Gate,147,38,POINT (77.69247 12.84901)
Depot-39 Gate,11,5,POINT (77.78178 13.06905)
Depot-39 Hoskote,81,4,POINT (77.78173 13.06832)
Depot-40 Dasanapura,64,2,POINT (77.44491 13.07402)
Depot-40 Gate,383,64,POINT (77.44766 13.06872)
Depot-41 Gate,172,42,POINT (77.74239 12.9213)
Depot-41 Gunjuru,76,2,POINT (77.7433 12.92231)
Depot-42 Gate  Arrival,72,9,POINT (77.70565 12.89538)
Depot-42 Gate Departure,19,8,POINT (77.7057 12.89553)
Depot-42 Kodathi,38,1,POINT (77.7041 12.89596)
Depot-43 Gate,127,22,POINT (77.42564 13.06595)
Depot-43 Shivanapura,98,3,POINT (77.42575 13.0668)
Depot-44 Anjanapura,63,2,POINT (77.56969 12.85538)
Depot-45 Gate,1040,74,POINT (77.55072 13.0829)
Depot-45 MS Palya,96,2,POINT (77.55046 13.08431)
Depot-46 Gate,1,1,POINT (77.5634 13.18748)
Depot-46 Sadenahalli,44,1,POINT (77.56681 13.18393)
Depot-47 Gate,52,5,POINT (77.73201 13.08467)
Depot-47 Manduru,71,5,POINT (77.73146 13.08535)
Depot-48 Byrathibande,60,1,POINT (77.65422 13.07668)
Depot-48 Gate,82,12,POINT (77.65472 13.07752)
Depot-49 Bidadi,161,1,POINT (77.39285 12.80177)
Depot-50 Devanahalli,74,2,POINT (77.71744 13.24698)
Depot-51 Sadaramangala,28,1,POINT (77.72654 12.99672)
Depot-51 Sadaramangala Arrival,58,5,POINT (77.72624 12.99596)
Depot-51 Sadaramangala Departure,10,2,POINT (77.72622 12.99606)
Depot-52 Arrival,5,4,POINT (77.65908 13.15738)
Depot-52 Departure,49,14,POINT (77.65912 13.15742)
Depot-52 Huttanahalli,21,1,POINT (77.65873 13.15723)
Depot-9,2,2,POINT (77.50051 13.02036)
Deshnarayanaswamy Temple,80,13,POINT (77.74569 13.13726)
Design Global Mavallipura,16,6,POINT (77.53097 13.13126)
Deva Machohalli Cross,70,16,POINT (77.3811 12.96552)
Devadiga Soudha,14,4,POINT (77.51998 12.9265)
Devaganahalli,14,6,POINT (77.64888 13.25331)
Devagere,36,8,POINT (77.4657 12.85653)
Devagere Colony,4,2,POINT (77.45795 12.85346)
Devagere Cross,79,23,POINT (77.45713 12.86428)
Devaiah Park,1057,58,POINT (77.56424 12.99628)
Devalapura,4,3,POINT (77.82944 12.98457)
Devalapura Circle,8,5,POINT (77.82842 12.98272)
Devanagondi,60,22,POINT (77.83873 12.97405)
Devanagondi IOC,3,2,POINT (77.83736 12.98789)
Devanagondi LPG,4,3,POINT (77.83009 12.98996)
Devanagondi Railway Station,4,3,POINT (77.82956 12.98534)
Devanagundi Cross,14,5,POINT (77.82737 13.06044)
Devanahalli Bypass NH-7,360,38,POINT (77.70399 13.24231)
Devanahalli Cross Sulibele,236,11,POINT (77.79804 13.18487)
Devanahalli Govt Hospital,107,10,POINT (77.72655 13.25748)
Devanahalli New Bus Station,580,52,POINT (77.71281 13.24528)
Devanahalli Old Bus Stand,464,49,POINT (77.71547 13.24853)
Devanahalli Talluk Office,358,38,POINT (77.70893 13.24358)
Devanayakanahalli,1,1,POINT (77.77256 13.17536)
Devaninjayyanapalya,2,1,POINT (77.41453 13.01712)
Devannanapalya,683,78,POINT (77.43139 13.07769)
Devarabisanahalli Ring Road,1457,73,POINT (77.68686 12.93145)
Devarachikkanahalli,41,3,POINT (77.61556 12.88887)
Devarahalli Cross,2,2,POINT (77.61099 13.24054)
Devasandra,24,5,POINT (77.70009 13.00618)
Devasandra Chikkamaranahalli,270,16,POINT (77.56656 13.03638)
Devashettyhalli,5,3,POINT (77.82109 13.02425)
Devasthana Bidluru,4,2,POINT (77.68979 13.27826)
Devasthana Kariapppana Doddy,2,1,POINT (77.37567 12.78713)
Devegowda Hospital,102,13,POINT (77.55998 12.92041)
Devegowda Petrol Bunk,864,65,POINT (77.56027 12.92141)
Devinagara Cross,725,86,POINT (77.56904 13.047)
Devis Road,329,87,POINT (77.61968 13.00426)
Dhaba Gate,364,39,POINT (77.68707 13.22644)
Dhananayakanahalli,5,2,POINT (77.46781 12.93885)
Dharma Nayakana Tandya,2,2,POINT (77.34885 13.03018)
Dharmapura,36,5,POINT (77.62759 12.81279)
Dharmapura Cross,16,5,POINT (77.80912 13.26444)
Dharmapura Gate,12,4,POINT (77.80409 13.28389)
Dhobi Ghat Rajajinagara,421,24,POINT (77.55089 12.98721)
Dhoopanahalli,394,25,POINT (77.64156 12.96354)
Diacon Hospital,500,40,POINT (77.55003 13.00379)
Dibbur,9,4,POINT (77.5288 13.16685)
Dickenson Road,2,1,POINT (77.61058 12.98081)
Dinnepalya,17,4,POINT (77.49239 12.81119)
Dinnur,19,7,POINT (77.80195 13.25263)
Dinnur Cross,13,3,POINT (77.80132 13.25084)
Dinnur Main Road,478,24,POINT (77.5989 13.02395)
Dinnur Sudhamanagara,80,11,POINT (77.70591 12.71445)
Diwanarapalya,988,99,POINT (77.5618 13.02674)
Doctors Layout Kasturinagara,14,5,POINT (77.65951 13.00611)
Dodda Aladamara,114,35,POINT (77.39551 12.90999)
Dodda Aladamara Cross,138,12,POINT (77.40744 12.96386)
Dodda Basti,187,17,POINT (77.47298 12.93967)
Dodda Bettahalli,16,3,POINT (77.55426 13.0943)
Dodda Bommasandra,515,30,POINT (77.55886 13.06022)
Dodda Bommasandra Arch,515,31,POINT (77.5591 13.05835)
Dodda Byalakere,118,32,POINT (77.52464 13.1135)
Dodda Cheemanahalli,2,2,POINT (77.62204 13.24783)
Dodda Cheemanahalli Cross,2,2,POINT (77.62393 13.2505)
Dodda Dasarahalli,6,3,POINT (77.83087 13.00454)
Dodda Dasarahalli Cross,2,2,POINT (77.84148 12.99821)
Dodda Dunnasandra,130,56,POINT (77.81653 12.97685)
Dodda Dunnasandra Cross,130,56,POINT (77.82056 12.97599)
Dodda Gubbi,47,14,POINT (77.67401 13.07093)
Dodda Hagade,3,1,POINT (77.6892 12.74684)
Dodda Haralegere,1,1,POINT (77.83881 13.19409)
Dodda Hullur Gate,8,4,POINT (77.82162 13.10193)
Dodda Hulluru School Gate,8,4,POINT (77.81685 13.0973)
Dodda Kurabarahalli,18,3,POINT (77.80913 13.22559)
Dodda Maralawadi,2,1,POINT (77.52529 12.61221)
Dodda Nagamangala,9,3,POINT (77.67491 12.86231)
Dodda Nagamangala Tirumala Bekary,6,3,POINT (77.67814 12.8623)
Dodda Nallala,1,1,POINT (77.89655 13.08402)
Dodda Nekkundi,27,9,POINT (77.69429 12.97154)
Dodda Nekkundi Bridge/Rainbow Hospital,1320,76,POINT (77.697 12.97565)
Dodda Nekkundi Cross,27,9,POINT (77.6934 12.96796)
Dodda Nekkundi Junction,15,5,POINT (77.69173 12.95617)
Dodda Thimmanahalli,2,2,POINT (77.76217 13.26947)
Dodda Thimmasandra,3,1,POINT (77.80619 12.88087)
Dodda Thimmasandra Gate,33,12,POINT (77.81277 12.87879)
Dodda Thoguru,5,3,POINT (77.65506 12.85063)
Dodda Tumkur,9,7,POINT (77.53104 13.22623)
Doddabadhegere Gate,2,1,POINT (77.48293 12.669)
Doddaballapura Bus Stand,311,29,POINT (77.54224 13.29346)
Doddaballapura Govt Hospital,2,2,POINT (77.54517 13.31184)
Doddaballapura KEB Circle,16,3,POINT (77.54202 13.31166)
Doddaballapura Railway Station,238,24,POINT (77.55162 13.28041)
Doddaballapura Tollgate,3,1,POINT (77.53639 13.29568)
Doddabannahalli,3,2,POINT (77.74816 13.02625)
Doddabele,30,3,POINT (77.47754 12.88874)
Doddabele Colony,25,2,POINT (77.47164 12.89157)
Doddabidarakallu,59,2,POINT (77.49368 13.03594)
Doddadenahalli 1,2,1,POINT (77.91946 13.0683)
Doddagattiganabbe,14,6,POINT (77.78798 13.03366)
Doddagattiganabbe Cross,14,6,POINT (77.78551 13.03341)
Doddahosahalli,1,1,POINT (77.75047 13.19782)
Doddajala,72,12,POINT (77.65338 13.17735)
Doddakallasandra,413,96,POINT (77.55671 12.88596)
Doddakallasandra Metro Station,410,95,POINT (77.55255 12.88469)
Doddakammanahalli,31,4,POINT (77.59989 12.85302)
Doddakannalli,573,65,POINT (77.69556 12.90731)
Doddakukkanahalli,1,1,POINT (77.44119 13.1752)
Doddakuntanahalli,4,2,POINT (77.44968 12.8122)
Doddamaranahalli,7,3,POINT (77.38286 12.93056)
Doddamma Temple,84,31,POINT (77.69068 12.8472)
Doddanallurahalli,3,1,POINT (77.86296 13.11876)
Doddanalluru,13,3,POINT (77.76329 13.19142)
Doddasanne,1,1,POINT (77.69407 13.21846)
Dodderi College,28,10,POINT (77.38586 12.86757)
Dodderi Grama,20,7,POINT (77.37822 12.86644)
Dodderi Tumkur Road,24,4,POINT (77.30925 13.16968)
Doddy,481,74,POINT (77.45169 13.16982)
Doddy Chikkakuntanahalli,6,4,POINT (77.44138 12.79692)
Doddypalya,8,2,POINT (77.47216 12.85787)
Dombara Doddy Cross,2,1,POINT (77.39316 12.70197)
Dombarahalli,76,19,POINT (77.45981 13.0491)
Dombarahatti Dongadipura Cross,54,4,POINT (77.46048 12.97213)
Domlur,895,112,POINT (77.63809 12.96111)
Domlur Bridge,1,1,POINT (77.63834 12.96356)
Domlur Cross,5,5,POINT (77.8556 12.97476)
Domlur Flyover,1173,133,POINT (77.64352 12.96048)
Domlur Marriad Accomodation,3,3,POINT (77.63378 12.96188)
Dommara Doddy,2,1,POINT (77.39699 12.7028)
Dommasandra,619,70,POINT (77.75371 12.8796)
Dommasandra Circle,640,79,POINT (77.75246 12.88311)
Donnenahalli,7,4,POINT (77.37521 12.88427)
Dorekavalu,57,5,POINT (77.68637 13.2621)
Double Road,30,7,POINT (77.60967 12.87874)
Double Road BEML Layout,387,35,POINT (77.52066 12.9148)
Double Road Indiranagara,183,33,POINT (77.63645 12.97821)
Dr Ambedkar Nagara,3,1,POINT (77.75279 12.97981)
Dr BR Ambedkar Bus Terminal (Domlur),82,8,POINT (77.63853 12.96191)
Dr Shivaramkaranth Residents,43,7,POINT (77.62542 13.06908)
Dr.Shivaramakaranth Nagara,43,7,POINT (77.62939 13.06812)
Dubasipalya,1,1,POINT (77.4952 12.92747)
Dubasipalya Cross,550,133,POINT (77.49603 12.92273)
Dudapanahalli,52,10,POINT (77.29614 12.96021)
Durga Bakery Mallathahallli,14,2,POINT (77.50162 12.96098)
Durga Parameshwari Temple,536,42,POINT (77.55979 13.08182)
Dwaraka Layout,1,1,POINT (77.52335 12.90002)
Dwaraka Nagara,570,72,POINT (77.49516 13.08783)
Dyavalingaiahnapalya,3,1,POINT (77.41591 12.85026)
Dyavarahalli,1,1,POINT (77.59911 13.23979)
Dyavarahalli Cross,6,3,POINT (77.60747 13.23135)
Dyavarahalli Gate,2,2,POINT (77.60738 13.23138)
Dyavasandra,7,3,POINT (77.648 12.75752)
Dyavasandra Cross,15,6,POINT (77.64044 12.75791)
E Hosuru,6,3,POINT (77.60587 13.22706)
E Muthsandra,4,2,POINT (77.81562 13.14543)
ELC NICE Road,150,13,POINT (77.6588 12.85824)
ELC Toll Point,34,2,POINT (77.67184 12.84621)
EMC2,1072,67,POINT (77.69301 12.98256)
ESI Hospital Indiranagara,9,1,POINT (77.63627 12.97136)
ESI Hospital Rajajinagara,1028,66,POINT (77.55258 12.99069)
ESI Hospital White Field,6,1,POINT (77.70641 12.99076)
Eagleton Resort,35,11,POINT (77.41626 12.81054)
East End Jayanagara,1341,97,POINT (77.59739 12.91684)
East Point College,87,15,POINT (77.71401 13.05085)
East Railway Station,693,81,POINT (77.61865 13.00143)
East West College Cross,673,112,POINT (77.48629 12.98568)
East West Public School,47,6,POINT (77.55647 13.00547)
Ebenezer International School,5,3,POINT (77.70655 12.83948)
Echalamara Vidyaranyapura,542,45,POINT (77.55935 13.08)
Eco Space,1457,73,POINT (77.68049 12.92776)
Ejipura,95,9,POINT (77.62883 12.94669)
Ejipura School,19,6,POINT (77.63081 12.94272)
ElC City Phase-2 Xavier Institute of Management,10,3,POINT (77.67529 12.84756)
Electric B Station,65,9,POINT (77.61394 12.97405)
Electronic City,1811,197,POINT (77.6707 12.84697)
Electronic City East Phase-II,9,1,POINT (77.68094 12.84498)
Electronic City FLY,128,10,POINT (77.67202 12.84598)
Electronic City KIA,129,1,POINT (77.66201 12.85049)
Electronic City PESIT College,1118,139,POINT (77.66179 12.85897)
