name,trip_count,route_count,geometry
Adishwara Bombay Dying,1,1,POINT (77.55609 13.02126)
Aditya Bakery,109,7,POINT (77.51076 12.90351)
Ado Sonnahatti,2,1,POINT (77.71546 12.77796)
Adrsha Savana,1,1,POINT (77.60381 13.20859)
Adugodi,314,19,POINT (77.6077 12.94387)
Adugodi Police Station,323,20,POINT (77.60976 12.93897)
Aduru,73,16,POINT (77.65433 12.73303)
Aerospace Bagalur,27,8,POINT (77.73058 13.17277)
Agalakote,54,7,POINT (77.73615 13.21287)
Agara,50,10,POINT (77.48709 12.84477)
Agara Cross,363,79,POINT (77.52207 12.84899)
Agara Junction,2094,132,POINT (77.64937 12.92464)
Agrahara Dasarahalli,1089,139,POINT (77.54293 12.97853)
Agrahara Layout,38,9,POINT (77.62683 13.09837)
Agrahara Layout Cross,3,1,POINT (77.6277 13.10248)
Agraharapalya Gate,2,1,POINT (77.45348 13.1306)
Ainahalli,1,1,POINT (77.38764 13.25852)
Air Lines Dhaba Gate,85,2,POINT (77.74086 13.2225)
Airport Trumpet,361,38,POINT (77.65792 13.19908)
Ajjagondanahalli,11,3,POINT (77.7684 12.95709)
Ajjanahalli,2,1,POINT (77.3865 12.9167)
Ajmeer Apartment Neeladri Road,67,8,POINT (77.64675 12.84181)
Akkayammana Betta,14,5,POINT (77.64223 13.16162)
Akkayammana Betta Huttanahalli Cross,34,10,POINT (77.64227 13.16165)
Akkithimmanahalli,104,6,POINT (77.59674 12.96216)
Akkithimmanahalli 1,120,7,POINT (77.59649 12.96221)
Akshayanagara,70,10,POINT (77.68354 13.02068)
Akshayanagara New Town,29,6,POINT (77.61166 12.87657)
Aladamara Chikkanahalli Cross,10,4,POINT (77.64804 12.72809)
Aladamara Laggere,291,18,POINT (77.52099 13.01324)
Aladamara Papareddypalya,312,34,POINT (77.50948 12.97495)
Alahalli,6,2,POINT (77.52143 13.27755)
Alambadi,6,4,POINT (77.88656 12.8927)
Alanayakanahalli Gate,29,4,POINT (77.32407 13.18069)
Ali Bommasandra,3,2,POINT (77.73644 12.82033)
Alisda,405,44,POINT (77.54098 13.03392)
Aliyuru,2,2,POINT (77.76564 13.263)
Allalasandra,9,4,POINT (77.58864 13.08819)
Allalasandra Gate,2153,245,POINT (77.59386 13.08686)
Allammanapalya,3,1,POINT (77.3661 12.9356)
Alpha College Chikka Gubbi,19,10,POINT (77.662 13.07702)
Alphine Apartment,2,2,POINT (77.5765 13.06649)
Aluru,36,6,POINT (77.46561 13.0849)
Aluru BDA 2nd Stage,3,3,POINT (77.44998 13.09138)
Aluru Cross,31,3,POINT (77.47479 13.0824)
Amarajyothi Badavane,10,4,POINT (77.62929 13.05526)
Amba Bhavani Nagara,23,5,POINT (77.54599 13.09712)
Ambalagere,1,1,POINT (77.38658 13.24327)
Ambedkar Institute of Technology,600,53,POINT (77.50502 12.96319)
Ambedkar Medical College Shampura,6,4,POINT (77.6126 13.02327)
Ambedkar Nagara,530,57,POINT (77.71273 12.89929)
Ambika School,31,5,POINT (77.33712 13.15775)
Amma Ashrama Cross,264,16,POINT (77.48867 12.94958)
Amogha Layout,34,10,POINT (77.71806 13.07509)
Amritha Ayurvedic Hospital,3,1,POINT (77.54721 13.12485)
Amruth Sweets,146,2,POINT (77.64153 12.90921)
Amrutha Engineering College,55,12,POINT (77.67471 12.89566)
Amruthahalli,116,26,POINT (77.60081 13.06576)
Amruthanagara,19,2,POINT (77.54995 12.83943)
Amruthanagara Canara Bank,8,2,POINT (77.59974 13.05506)
Amruthanagara Hebbala,4,2,POINT (77.59791 13.05598)
Anagalipura,13,5,POINT (77.68241 13.06838)
Anagalipura Gate,26,9,POINT (77.67885 13.07306)
Ananda Ashrama (BGT Rd),577,76,POINT (77.60062 12.9275)
Ananda Rao Circle,1113,137,POINT (77.57466 12.98115)
Anandanagara,4,1,POINT (77.24209 12.9838)
Anandapura,70,10,POINT (77.69285 13.02423)
Ananthapura,3,2,POINT (77.56708 13.11478)
Ananthapura Gate,319,84,POINT (77.57901 13.1146)
Anche Muskuru,33,9,POINT (77.86795 12.9043)
Anchepalya,1213,244,POINT (77.47936 13.05497)
Anchipura,8,5,POINT (77.43196 12.77008)
Anchipura Colony,8,5,POINT (77.43855 12.76763)
Anchipura Cross,32,8,POINT (77.44125 12.79009)
Andhrahalli,417,19,POINT (77.48484 13.00805)
Andhrahalli Gate,120,18,POINT (77.74529 13.11545)
Andhrahalli Govt School,416,18,POINT (77.48294 13.00952)
Ane Hosahalli Gate,2,1,POINT (77.51387 12.62071)
Anehalla,4,1,POINT (77.24132 12.97983)
Anekal,437,36,POINT (77.69641 12.70939)
Anekal Circle,351,26,POINT (77.70018 12.71677)
Anekal Road Junction,82,14,POINT (77.77016 12.76837)
Anepalya,158,15,POINT (77.60518 12.95303)
Anjan Vidya Kendra School,4,2,POINT (77.82445 12.92411)
Anjanamurthy,2,2,POINT (77.57437 13.04511)
Anjananagara,674,112,POINT (77.48847 12.98614)
Anjanapura,263,23,POINT (77.56381 12.86196)
Anjanapura 10 Block,60,1,POINT (77.569 12.85601)
Anjanapura 10th  Block,7,3,POINT (77.5706 12.85561)
Anjanapura 10th Block,46,14,POINT (77.56907 12.85593)
Anjanapura 1st Block,2,1,POINT (77.54817 12.86001)
Anjanapura 2nd Block,6,2,POINT (77.55245 12.86573)
Anjanapura 2nd Block Cross (LBSN),27,3,POINT (77.55939 12.86054)
Anjanapura Cross,21,3,POINT (77.56091 12.86183)
Anjaneya Temple Anekal,14,5,POINT (77.70046 12.7173)
Anjaneya Temple Bidaraguppe,99,22,POINT (77.78276 12.80131)
Anjaneya Temple Devanahalli,56,8,POINT (77.713 13.23506)
Anjaneya Temple Madhure,21,10,POINT (77.44486 13.20998)
Anjaneya Temple Nelamangala,725,77,POINT (77.39777 13.09737)
Anjaneya Temple Thigalarapalya,416,18,POINT (77.48347 13.01372)
Ankanahalli,18,3,POINT (77.79846 13.20433)
Ankegowdana Doddy,3,1,POINT (77.51733 12.70677)
Annahalli,2,1,POINT (77.38452 12.69958)
Annapoorneshwari nagara Cross,124,8,POINT (77.49655 12.96998)
Annapoorneshwarinagara,14,6,POINT (77.50667 12.98002)
Annapoorneshwarinagara Cross,133,8,POINT (77.49658 12.97002)
Annapoorneshwarinagara Water Tank,50,4,POINT (77.49702 12.97196)
Annapurneshwari Badavane,72,14,POINT (77.50799 13.13879)
Annasandrapalya,6,2,POINT (77.67252 12.96444)
Annasandrapalya Cross,12,8,POINT (77.66622 12.96039)
Anneshwara Circle,1,1,POINT (77.71058 13.21535)
Anubhavanagara,1,1,POINT (77.5238 12.96778)
Anugondanahalli,6,2,POINT (77.81546 12.95716)
Anugondanahalli Cross,52,18,POINT (77.81599 12.95895)
Anugraha Badavane (Bilekahalli),7,3,POINT (77.60892 12.90302)
Anupahalli,5,1,POINT (77.85612 13.21548)
Aparel Park,229,20,POINT (77.55193 13.27257)
Apex Bank,196,21,POINT (77.55602 12.94177)
Apollo Hospital,683,94,POINT (77.6 12.89662)
Appasandra,2,1,POINT (77.89659 13.06317)
Aradeshanahalli,13,10,POINT (77.56361 13.22247)
Aradeshanahalli Gate,260,41,POINT (77.55258 13.21637)
Arahalli,2,1,POINT (77.9487 13.22301)
Arakere Byrapura,6,5,POINT (77.5393 13.20062)
Arakere Gate,721,96,POINT (77.59817 12.89053)
Aralalusandra,5,2,POINT (77.45385 12.73311)
Aralalusandra Cross,8,3,POINT (77.46301 12.74341)
Aralimara (PK Kalyana Mantapa ),181,30,POINT (77.62459 12.88003)
Aralimara Hosahalli,8,3,POINT (77.64128 13.14043)
Aralimara Industrial Area  Rajajinagara,240,14,POINT (77.54909 12.97859)
Aralimara Sunkadakatte,72,4,POINT (77.50467 12.99209)
Aralimara Ullalu,1,1,POINT (77.48731 12.95768)
Aralimaradapalya Cross,11,3,POINT (77.35998 12.92663)
Aralumallige,6,2,POINT (77.50939 13.27367)
Aralumallige Cross,2,1,POINT (77.51161 13.26702)
Arasanahalli,22,4,POINT (77.79737 13.20148)
Arathipalya,6,4,POINT (77.42593 13.03724)
Aravinda Limited,140,13,POINT (77.67016 12.81475)
Arch Lingadeeranahalli,450,18,POINT (77.48872 12.99961)
Arch Railway Gollahalli,55,20,POINT (77.41192 13.1482)
Archakara Badavane,7,2,POINT (77.45255 12.91878)
Are Bannimangala,16,7,POINT (77.71759 13.154)
Arebic College,461,61,POINT (77.62121 13.03049)
Arebommanahalli T Begur,1,1,POINT (77.28491 13.14266)
Arehalli,333,56,POINT (77.76696 12.76327)
Arehalli Cross,47,16,POINT (77.83669 12.94227)
Arenur,3,1,POINT (77.7749 12.80975)
Arishinakunte,879,92,POINT (77.77355 13.20051)
Arivesandra,29,4,POINT (77.32512 13.18504)
Army Public School Kamaraja Road,17,11,POINT (77.60941 12.97871)
Arogya Dhama,1,1,POINT (77.35297 13.07838)
Art Of Living,108,18,POINT (77.5141 12.82261)
Art Of Living (Kanakapura Road),208,51,POINT (77.51415 12.82279)
Art Of Living Ravishankar Ashram,326,71,POINT (77.51259 12.82883)
Ashoka Pillar,589,36,POINT (77.58496 12.94367)
Ashoka Polytechnic,7,2,POINT (77.53307 13.06553)
Ashrama Ramohalli,128,41,POINT (77.42886 12.9063)
Ashwath Nagara,496,70,POINT (77.63125 13.05274)
Ashwath Nagara Cross,28,9,POINT (77.63067 13.05075)
Ashwathkatte Kodihalli,11,5,POINT (77.81054 13.0186)
Ashwathkatte Manorayanapalya,21,6,POINT (77.60448 13.02795)
Ashwathkatte Sultanpalya,207,15,POINT (77.60341 13.0246)
Ashwathnagara,418,16,POINT (77.57971 13.02696)
Asian Paints Dabaspet,9,1,POINT (77.27239 13.23008)
Aspire bee School,3,2,POINT (77.72373 12.87915)
Athimagere Gate,3,1,POINT (77.28357 12.87458)
Attibele,86,16,POINT (77.76968 12.77787)
Attibele Bus Stand,720,52,POINT (77.77077 12.77865)
Attibele Sulibele,133,8,POINT (77.79388 13.16987)
Attiguppe,1058,71,POINT (77.53385 12.95789)
Attivatta,2,1,POINT (77.85348 13.08812)
Attivatta Gate,11,5,POINT (77.85521 13.09743)
Atturu,37,8,POINT (77.56578 13.10653)
Atturu Layout,1131,54,POINT (77.56763 13.09778)
Atturu Layout Vegetable Market,39,7,POINT (77.56687 13.10082)
