name,trip_count,route_count,id,geometry
(Theneyuru)I Basapura Gate,24,1,168,POINT (77.83624 13.22602)
10th Cross Magadi Road,345,47,58n,POINT (77.55706 12.97574)
10th Cross Magadi Road,566,79,zp,POINT (77.55562 12.97556)
10th Stone NICE Road,64,2,17,POINT (77.4986 12.87273)
10th Stone NICE Road,86,11,cm,POINT (77.49865 12.87242)
11th Block Anjanapura,6,2,5lp,POINT (77.57235 12.85225)
11th Block Anjanapura,1,1,n1,POINT (77.57265 12.85224)
12th Block Nagarabhavi,96,17,4b6,POINT (77.51398 12.96018)
12th Block Nagarabhavi,256,27,ur,POINT (77.51351 12.96076)
12th Main 7th Cross BTM Layout,20,5,169,POINT (77.61022 12.91385)
13th Main 7th Cross BTM Layout,30,2,m8,POINT (77.61007 12.91405)
14th Main HSR Layout,675,34,1zx,POINT (77.63472 12.91637)
14th Main HSR Layout,611,33,3dz,POINT (77.63521 12.91619)
16th Main Hopcoms BTM Layout,4,1,3f9,POINT (77.61036 12.91971)
18th Main Jayanagara,82,2,44o,POINT (77.58964 12.92343)
18th Main Jayanagara,93,5,jk,POINT (77.58898 12.92328)
19th Main 13th Cross HSR Layout,11,4,2b6,POINT (77.65175 12.91582)
19th Main 13th Cross HSR Layout,11,4,2dy,POINT (77.65176 12.91593)
1st Block Rajajinagara,333,14,21d,POINT (77.54909 13.0047)
1st Block Rajajinagara,461,27,454,POINT (77.54887 13.00515)
1st Block Rajajinagara,12,1,58h,POINT (77.54867 13.00592)
1st Block Vidyaranyapura,298,28,3wk,POINT (77.55539 13.07023)
1st Block Vidyaranyapura,233,11,483,POINT (77.5555 13.07021)
1st Block Vishweshwaraiah Layout,63,4,1uw,POINT (77.47876 12.93747)
1st Block Vishweshwaraiah Layout,2,2,460,POINT (77.4789 12.93752)
1st Cross Magadi Road,519,77,4um,POINT (77.563 12.97569)
1st Cross Magadi Road,353,48,57a,POINT (77.5628 12.97569)
1st Main Kodichikkanahalli,1,1,4nl,POINT (77.6155 12.89847)
1st Stage 3rd Block Nagarabhavi,4,2,6ay,POINT (77.52158 12.9533)
1st Stage 3rd Block Nagarabhavi (Nayandahalli),163,10,1wy,POINT (77.52026 12.95302)
1st Stage 3rd Block Nagarabhavi (Summanahalli),173,18,qm,POINT (77.52017 12.95286)
1st Stage HBR Layout,1,1,1rs,POINT (77.6263 13.02116)
2nd Stage  H B R Layout (2nd Cross),4,1,37v,POINT (77.61208 13.03172)
2nd Stage 11th Block Nagarabhavi,1,1,2k1,POINT (77.51336 12.97758)
2nd Stage 11th Block Nagarabhavi,1,1,5qn,POINT (77.51333 12.97754)
2nd Stage 9th Block Nagarabhavi,1,1,3f0,POINT (77.51027 12.96864)
2nd Stage H B R Layout (1st Main),4,1,147,POINT (77.61556 13.02881)
2nd Stage Kanteeravanagara,17,3,29f,POINT (77.53901 13.01505)
2nd stage Kuvempunagara,24,5,35t,POINT (77.54132 13.07313)
2nd stage Kuvempunagara,9,4,9o,POINT (77.54142 13.07306)
3rd Block Jayanagara,575,35,2rr,POINT (77.58392 12.9318)
3rd Block Jayanagara,402,31,4ak,POINT (77.58396 12.93349)
3rd Block Jn Banashankari 6th Phase,63,1,18c,POINT (77.51651 12.87818)
3rd Block Jn Banashankari 6th Phase,18,3,35y,POINT (77.51657 12.87821)
3rd Block Vidyaranyapura,258,19,421,POINT (77.55637 13.07223)
3rd Block Vidyaranyapura,270,18,tr,POINT (77.55647 13.07237)
3rd Main Road Annapoorneshwarinagara,5,1,1a,POINT (77.50434 12.97816)
3rd Main Road Annapoorneshwarinagara,2,2,49x,POINT (77.50446 12.97811)
3rd Stage Basaveshwaranagara,38,1,5pk,POINT (77.54249 12.98912)
3rd Stage Basaveshwaranagara,1,1,6cb,POINT (77.54254 12.98898)
4th Block HBR Layout,4,3,1nb,POINT (77.63268 13.03437)
4th Block HBR Layout,4,2,62,POINT (77.63264 13.03435)
4th Phase Yalahanka New Town Iyengar Bakery,2,1,f5,POINT (77.56999 13.1042)
4th Stone NICE Road,64,2,2c0,POINT (77.47509 13.009)
4th T Block Jayanagara,82,2,295,POINT (77.59353 12.92307)
4th T Block Jayanagara,99,6,37k,POINT (77.59345 12.92308)
5th Block HBR Layout,5,3,58g,POINT (77.6315 13.03582)
5th Block HBR Layout,3,2,zz,POINT (77.63142 13.03585)
5th Block Jayanagara,268,17,cy,POINT (77.58368 12.91732)
5th Block Jayanagara,211,9,f6,POINT (77.58356 12.91722)
5th Block Vishweshwaraiah Layout,1,1,47w,POINT (77.4816 12.95838)
5th Cross Magadi Road,353,48,2ex,POINT (77.56071 12.97578)
5th Cross Magadi Road,571,80,s6,POINT (77.56081 12.97567)
5th Cross Sriramapura,2,2,5rt,POINT (77.56647 12.99214)
5th Phase Yelahanka New Town,277,13,1qo,POINT (77.57251 13.10575)
5th Stone NICE Road,64,2,5dw,POINT (77.47145 12.97116)
6th Block Rajajinagara,341,20,37x,POINT (77.55377 12.97953)
6th Block Rajajinagara,362,25,j5,POINT (77.55359 12.97944)
7th Cross Srirampura,8,1,lh,POINT (77.56787 12.99051)
7th Cross Wilson Garden,348,45,1vi,POINT (77.59436 12.94699)
7th Cross Wilson Garden,693,112,qz,POINT (77.59465 12.94684)
80 feet Road Kalyananagara,244,23,4df,POINT (77.6406 13.02564)
80 feet Road Kalyananagara,185,36,60y,POINT (77.64042 13.02546)
80ft Road Banasawadi,34,7,5ss,POINT (77.64267 13.01511)
80ft Road Banasawadi,6,4,q6,POINT (77.6429 13.01538)
80ft Road HRBR Layout,33,6,2gy,POINT (77.64317 13.02095)
80ft Road HRBR Layout,6,4,2q6,POINT (77.64328 13.02035)
80ft Road MS Ramaiah College,285,2,xe,POINT (77.57571 13.02752)
8th Main 3rd Cross  Junction,53,7,55o,POINT (77.63714 13.02248)
8th Main 3rd Cross  Junction,33,5,5hf,POINT (77.63723 13.02254)
8th Main Kamalanagara,208,9,1al,POINT (77.53856 12.99178)
8th Main Kamalanagara,235,11,1v0,POINT (77.53839 12.99163)
8th Mile Dasarahalli,45,4,31g,POINT (77.50753 13.04571)
8th Mile Dasarahalli,390,65,3k4,POINT (77.50748 13.0451)
8th Mile Dasarahalli,347,52,5kz,POINT (77.50755 13.04622)
8th Mile Dasarahalli,727,100,5r0,POINT (77.50795 13.04541)
8th Mile Dasarahalli,243,12,5rs,POINT (77.50547 13.04544)
8th Mile Dasarahalli,294,12,6dh,POINT (77.50553 13.04547)
9th Block Jayanagara,1,1,2sm,POINT (77.5928 12.91964)
9th Block Jayanagara (40th Cross),177,8,2vi,POINT (77.59247 12.91969)
9th Stone NICE Road,64,2,49b,POINT (77.48532 12.88789)
A G Export Garments Nelamangala,39,11,51y,POINT (77.39237 13.12046)
A G Export Garments Nelamangala,56,15,5tb,POINT (77.39242 13.12048)
A P J Abdul Kalam Statue,14,4,1h4,POINT (77.65418 12.97977)
A P J Abdul Kalam Statue,17,4,3cw,POINT (77.65404 12.97972)
ADMC Quarters Office,3,2,1fk,POINT (77.64131 13.00438)
AECS Dental College,33,5,1h3,POINT (77.59831 12.86534)
AECS Dental College,4,3,4a8,POINT (77.59832 12.86541)
AECS Layout Cross,418,18,1ci,POINT (77.71832 12.96495)
AECS Layout Cross,377,17,4sk,POINT (77.71827 12.96511)
AECS Layout Singasandra,4,1,3cv,POINT (77.65018 12.88286)
AECS Layout Singasandra,6,2,64y,POINT (77.64991 12.88306)
AGS Layout,11,3,4m6,POINT (77.47919 12.95173)
AGS Layout,5,2,5cl,POINT (77.47921 12.95163)
AGS Layout Arehalli,108,5,4ec,POINT (77.53704 12.91252)
AGS Layout Arehalli,104,3,4i9,POINT (77.53703 12.91244)
AGS Layout Cross,111,7,32p,POINT (77.54088 12.91347)
AGS Layout Cross,111,5,4ja,POINT (77.54088 12.91353)
AIR FORCE Quarters,6,3,2br,POINT (77.52139 13.05895)
AIR FORCE Quarters,3,1,46u,POINT (77.52141 13.05899)
AL Ameen Residential School,14,5,59i,POINT (77.80832 13.06983)
AL-Agro Factory,1,1,47e,POINT (77.88059 12.98697)
AMC College,351,46,3mx,POINT (77.58759 12.82933)
AMC College,116,25,5fe,POINT (77.5878 12.83007)
APCO Factory,8,3,3wi,POINT (77.47044 12.76195)
APMC Yard,41,13,3ki,POINT (77.44388 13.10488)
APMC Yard,28,9,573,POINT (77.44396 13.10494)
APS College,150,32,314,POINT (77.49966 12.78276)
APS College,88,12,31v,POINT (77.49952 12.78266)
ARMY PUBLIC SCHOOL (Parachute Regiment),4,4,64r,POINT (77.58615 13.01651)
ARMY Public School ASC Center,3,3,5tz,POINT (77.61808 12.96467)
ASC Centre,112,9,327,POINT (77.61906 12.96245)
ASC Centre,47,9,lj,POINT (77.61901 12.96224)
Aane Kempegowdana Doddy,6,3,3d1,POINT (77.33503 12.86158)
Aane Kempegowdana Doddy,11,4,vn,POINT (77.33503 12.86152)
Abbaiah Circle Sarjapura,22,9,2zh,POINT (77.79411 12.85976)
Abbaiah Circle Sarjapura,13,4,4cd,POINT (77.79402 12.85974)
Abbaiah Layout,7,2,3xd,POINT (77.68082 12.97933)
Abbanakuppe,27,1,12k,POINT (77.4095 12.77419)
Abbanakuppe,9,5,571,POINT (77.40941 12.77413)
Abbanakuppe Colony,1,1,3y4,POINT (77.41632 12.77123)
Abbanakuppe KEB,1,1,3uy,POINT (77.42868 12.78762)
Abbigere,66,9,10c,POINT (77.52587 13.07696)
Abbigere,41,10,4b1,POINT (77.52589 13.07692)
Abbigere Cross,73,8,1es,POINT (77.52976 13.07069)
Abbigere Cross,52,13,2er,POINT (77.52974 13.07068)
Abbigere Dinne,79,6,2hb,POINT (77.52803 13.07106)
Abbigere Dinne,83,9,3v9,POINT (77.52801 13.07099)
Abbigere Gate,126,5,12x,POINT (77.52353 13.07248)
Abbigere Gate,125,6,5lw,POINT (77.52355 13.07243)
Acharya College,188,8,1q7,POINT (77.48822 13.00234)
Acharya College,225,8,45a,POINT (77.48823 13.00238)
Acharya Institute of Technology,32,3,1hi,POINT (77.48416 13.08351)
Acharya Institute of Technology,6,4,3d,POINT (77.48411 13.08353)
Achyuthanagara Gate,5,3,42s,POINT (77.48656 13.08423)
Achyuthanagara Gate,27,1,5co,POINT (77.48655 13.08418)
Active Public School Hommadevanahalli,1,1,1kk,POINT (77.59467 12.8402)
Adakamaranahalli (Magadi Road),5,1,3bb,POINT (77.31054 12.94713)
Adakamaranahalli Cross (Magadi Road),39,9,15k,POINT (77.30922 12.95438)
Adakamaranahalli Cross (Magadi Road),18,2,5d2,POINT (77.30902 12.95436)
Adakimaranahalli,348,35,5zk,POINT (77.4449 13.07065)
Adakimaranahalli,350,54,6dl,POINT (77.44482 13.07028)
Adarshanagara,11,6,1sv,POINT (77.42374 13.07619)
Adarshanagara,65,14,3rc,POINT (77.42378 13.07621)
Adde Vishwanathapura,1,1,21z,POINT (77.55112 13.18672)
Adde Vishwanathapura,5,4,2rv,POINT (77.5511 13.18669)
Addiganahalli,49,20,4x8,POINT (77.56943 13.17297)
Addiganahalli,29,17,58i,POINT (77.56959 13.17295)
Addiganahalli Extension,5,1,4g7,POINT (77.57126 13.1728)
Addiganahalli Extension 1,13,4,4bc,POINT (77.57123 13.17288)
Adigara Kallahalli,4,1,4wi,POINT (77.8033 12.82534)
Adigondanahalli,4,2,1kx,POINT (77.75116 12.81457)
Adishwara Bombay Dying,1,1,do,POINT (77.55609 13.02126)
Aditya Bakery,28,4,1xf,POINT (77.51076 12.90351)
Aditya Bakery,81,3,67d,POINT (77.51067 12.9035)
Ado Sonnahatti,2,1,1a4,POINT (77.71546 12.77796)
Adrsha Savana,1,1,3ct,POINT (77.60381 13.20859)
Adugodi,107,7,16v,POINT (77.6077 12.94387)
Adugodi,80,5,333,POINT (77.60748 12.94397)
Adugodi,127,7,35d,POINT (77.60761 12.94384)
Adugodi Police Station,207,12,1xz,POINT (77.60976 12.93897)
Adugodi Police Station,116,8,3r2,POINT (77.6095 12.93985)
Aduru,4,2,3pj,POINT (77.65433 12.73303)
Aduru,17,8,4ad,POINT (77.70589 13.05542)
Aduru,42,2,dl,POINT (77.70576 13.05552)
Aduru,10,4,l1,POINT (77.6544 12.73301)
Aerospace Bagalur,7,3,1tb,POINT (77.73058 13.17277)
Aerospace Bagalur,20,5,537,POINT (77.73066 13.17289)
Agalakote,17,5,18r,POINT (77.73615 13.21287)
Agalakote,37,2,4iu,POINT (77.73612 13.21292)
Agara,11,3,16b,POINT (77.48709 12.84477)
Agara,3,1,3ku,POINT (77.48626 12.84288)
Agara,21,2,556,POINT (77.48713 12.84479)
Agara,15,4,68x,POINT (77.4863 12.8429)
Agara Cross,122,23,47k,POINT (77.52207 12.84899)
Agara Cross,241,56,d6,POINT (77.52219 12.84915)
Agara Junction,145,18,132,POINT (77.64937 12.92464)
Agara Junction,147,3,2pv,POINT (77.65172 12.9239)
Agara Junction,719,34,3ee,POINT (77.65028 12.92452)
Agara Junction,808,39,621,POINT (77.65073 12.92433)
Agara Junction,202,37,nb,POINT (77.64998 12.92468)
Agara Junction,73,1,x4,POINT (77.65075 12.92417)
Agrahara Dasarahalli,429,58,4o6,POINT (77.54293 12.97853)
Agrahara Dasarahalli,660,81,ou,POINT (77.54121 12.97874)
Agrahara Layout,27,6,2k,POINT (77.62683 13.09837)
Agrahara Layout,11,3,53o,POINT (77.62671 13.09838)
Agrahara Layout Cross,3,1,5en,POINT (77.6277 13.10248)
Agraharapalya Gate,2,1,4lh,POINT (77.45348 13.1306)
Ainahalli,1,1,8b,POINT (77.38764 13.25852)
Air Lines Dhaba Gate,43,1,11b,POINT (77.74086 13.2225)
Air Lines Dhaba Gate,42,1,4zc,POINT (77.74085 13.22276)
Airport Trumpet,203,24,1eq,POINT (77.65792 13.19908)
Airport Trumpet,158,14,t2,POINT (77.6582 13.19905)
Ajjagondanahalli,11,3,zv,POINT (77.7684 12.95709)
Ajjanahalli,2,1,2lp,POINT (77.3865 12.9167)
Ajmeer Apartment Neeladri Road,9,2,19s,POINT (77.64675 12.84181)
Ajmeer Apartment Neeladri Road,58,6,695,POINT (77.64673 12.84185)
Akkayammana Betta,14,5,36a,POINT (77.64223 13.16162)
Akkayammana Betta Huttanahalli Cross,34,10,nt,POINT (77.64227 13.16165)
Akkithimmanahalli,104,6,1ie,POINT (77.59674 12.96216)
Akkithimmanahalli 1,120,7,29,POINT (77.59649 12.96221)
Akshayanagara,62,6,242,POINT (77.68354 13.02068)
Akshayanagara,8,4,4og,POINT (77.68339 13.02072)
Akshayanagara New Town,20,3,1mf,POINT (77.61166 12.87657)
Akshayanagara New Town,9,3,4ha,POINT (77.61101 12.87657)
Aladamara Chikkanahalli Cross,3,1,1pi,POINT (77.64804 12.72809)
Aladamara Chikkanahalli Cross,7,3,247,POINT (77.64801 12.72796)
Aladamara Laggere,104,9,2d8,POINT (77.52099 13.01324)
Aladamara Laggere,187,9,44a,POINT (77.521 13.0133)
Aladamara Papareddypalya,150,19,12n,POINT (77.50948 12.97495)
Aladamara Papareddypalya,162,15,29g,POINT (77.50941 12.97505)
Alahalli,2,1,1e2,POINT (77.52143 13.27755)
Alahalli,4,1,437,POINT (77.52152 13.2775)
Alambadi,4,2,5f8,POINT (77.88656 12.8927)
Alambadi,2,2,5hh,POINT (77.88659 12.89273)
Alanayakanahalli Gate,18,2,2ky,POINT (77.32407 13.18069)
Alanayakanahalli Gate,11,2,kx,POINT (77.32413 13.18089)
Ali Bommasandra,3,2,nj,POINT (77.73644 12.82033)
Alisda,247,21,4pu,POINT (77.54098 13.03392)
Alisda,158,23,y7,POINT (77.54112 13.03404)
Aliyuru,2,2,1xn,POINT (77.76564 13.263)
Allalasandra,6,3,4xt,POINT (77.58864 13.08819)
Allalasandra,3,1,5nu,POINT (77.58868 13.08818)
Allalasandra Gate,228,47,1gh,POINT (77.59386 13.08686)
Allalasandra Gate,344,64,5jn,POINT (77.59386 13.08448)
Allalasandra Gate,710,51,5tx,POINT (77.59557 13.08737)
Allalasandra Gate,503,16,5wm,POINT (77.59437 13.08534)
Allalasandra Gate,368,67,mf,POINT (77.59375 13.08664)
Allammanapalya,3,1,f7,POINT (77.3661 12.9356)
Alpha College Chikka Gubbi,15,7,3ch,POINT (77.662 13.07702)
Alpha College Chikka Gubbi,4,3,5aj,POINT (77.66202 13.077)
Alphine Apartment,2,2,2xe,POINT (77.5765 13.06649)
Aluru,28,2,3yi,POINT (77.46561 13.0849)
Aluru,8,4,5mu,POINT (77.46551 13.08495)
Aluru BDA 2nd Stage,3,3,21j,POINT (77.44998 13.09138)
Aluru Cross,30,2,2wb,POINT (77.47479 13.0824)
Aluru Cross,1,1,65i,POINT (77.47477 13.08236)
Amarajyothi Badavane,4,2,5wu,POINT (77.62929 13.05526)
Amarajyothi Badavane,6,2,cq,POINT (77.62932 13.05525)
Amba Bhavani Nagara,7,3,25u,POINT (77.54599 13.09712)
Amba Bhavani Nagara,16,2,5p1,POINT (77.54594 13.09721)
Ambalagere,1,1,294,POINT (77.38658 13.24327)
Ambedkar Institute of Technology,295,25,28m,POINT (77.50502 12.96319)
Ambedkar Institute of Technology,305,28,u2,POINT (77.50515 12.96338)
Ambedkar Medical College Shampura,6,4,629,POINT (77.6126 13.02327)
Ambedkar Nagara,275,36,2p6,POINT (77.71273 12.89929)
Ambedkar Nagara,255,21,4s1,POINT (77.71286 12.89914)
Ambika School,11,2,3hg,POINT (77.33712 13.15775)
Ambika School,20,3,4ym,POINT (77.33719 13.15775)
Amma Ashrama Cross,96,9,14o,POINT (77.48867 12.94958)
Amma Ashrama Cross,168,7,5k9,POINT (77.48882 12.94936)
Amogha Layout,24,6,1o3,POINT (77.71806 13.07509)
Amogha Layout,10,4,3jl,POINT (77.71818 13.07507)
Amritha Ayurvedic Hospital,3,1,2wv,POINT (77.54721 13.12485)
Amruth Sweets,73,1,10v,POINT (77.64153 12.90921)
Amruth Sweets,73,1,gz,POINT (77.64147 12.90926)
Amrutha Engineering College,3,1,1pq,POINT (77.67471 12.89566)
Amrutha Engineering College,42,6,2yq,POINT (77.6752 12.8968)
Amrutha Engineering College,10,5,8q,POINT (77.67517 12.89689)
Amruthahalli,22,7,2ru,POINT (77.60081 13.06576)
Amruthahalli,94,19,4wa,POINT (77.60076 13.06574)
Amruthanagara,19,2,5i6,POINT (77.54995 12.83943)
Amruthanagara Canara Bank,8,2,560,POINT (77.59974 13.05506)
Amruthanagara Hebbala,4,2,5xw,POINT (77.59791 13.05598)
Anagalipura,10,4,64m,POINT (77.68241 13.06838)
Anagalipura,3,1,r6,POINT (77.68234 13.06842)
Anagalipura Gate,21,6,19,POINT (77.67885 13.07306)
Anagalipura Gate,5,3,5f1,POINT (77.67888 13.07303)
Ananda Ashrama (BGT Rd),444,51,1xt,POINT (77.60062 12.9275)
Ananda Ashrama (BGT Rd),133,25,46x,POINT (77.60037 12.92644)
Ananda Rao Circle,975,102,197,POINT (77.57466 12.98115)
Ananda Rao Circle,33,12,3og,POINT (77.57694 12.98117)
Ananda Rao Circle,105,23,3s7,POINT (77.57503 12.98074)
Anandanagara,4,1,6bl,POINT (77.24209 12.9838)
Anandapura,8,4,145,POINT (77.69285 13.02423)
Anandapura,62,6,5uz,POINT (77.6927 13.0241)
Ananthapura,2,1,2t6,POINT (77.56708 13.11478)
Ananthapura,1,1,2za,POINT (77.56709 13.11475)
Ananthapura Gate,157,49,2uo,POINT (77.57901 13.1146)
Ananthapura Gate,162,35,5tv,POINT (77.57907 13.11478)
Anche Muskuru,7,4,21w,POINT (77.86795 12.9043)
Anche Muskuru,26,5,48x,POINT (77.8678 12.90452)
Anchepalya,348,61,3o9,POINT (77.47936 13.05497)
Anchepalya,347,87,5s,POINT (77.45795 12.89261)
Anchepalya,366,45,77,POINT (77.47983 13.05529)
Anchepalya,152,51,r4,POINT (77.45753 12.8926)
Anchipura,4,3,5p8,POINT (77.43196 12.77008)
Anchipura,4,2,fx,POINT (77.43203 12.77061)
Anchipura Colony,4,2,474,POINT (77.43855 12.76763)
Anchipura Colony,4,3,4ft,POINT (77.43854 12.76759)
Anchipura Cross,16,3,3r3,POINT (77.44125 12.79009)
Anchipura Cross,16,5,69p,POINT (77.44125 12.79006)
Andhrahalli,227,10,4n3,POINT (77.48484 13.00805)
Andhrahalli,190,9,yc,POINT (77.48484 13.00802)
Andhrahalli Gate,82,8,2r7,POINT (77.74529 13.11545)
Andhrahalli Gate,38,10,49l,POINT (77.74525 13.11542)
Andhrahalli Govt School,190,9,1ae,POINT (77.48294 13.00952)
Andhrahalli Govt School,226,9,416,POINT (77.48295 13.00956)
Ane Hosahalli Gate,2,1,40n,POINT (77.51387 12.62071)
Anehalla,4,1,385,POINT (77.24132 12.97983)
Anekal,437,36,xz,POINT (77.69641 12.70939)
Anekal Circle,201,12,43o,POINT (77.70018 12.71677)
Anekal Circle,150,14,4jp,POINT (77.70009 12.71674)
Anekal Road Junction,72,10,24m,POINT (77.77016 12.76837)
Anekal Road Junction,10,4,4k3,POINT (77.77016 12.76853)
Anepalya,129,9,4mb,POINT (77.60518 12.95303)
Anepalya,29,6,52j,POINT (77.60532 12.95289)
Anjan Vidya Kendra School,2,1,42w,POINT (77.82445 12.92411)
Anjan Vidya Kendra School,2,1,4gd,POINT (77.82438 12.92427)
Anjanamurthy,2,2,1nt,POINT (77.57437 13.04511)
Anjananagara,396,69,3q2,POINT (77.48847 12.98614)
Anjananagara,278,43,4qo,POINT (77.48817 12.98617)
Anjanapura,121,8,12i,POINT (77.56381 12.86196)
Anjanapura,122,9,1jx,POINT (77.56385 12.862)
Anjanapura,20,6,4an,POINT (77.56393 12.86196)
Anjanapura 10 Block,60,1,6b0,POINT (77.569 12.85601)
Anjanapura 10th  Block,7,3,5yx,POINT (77.5706 12.85561)
Anjanapura 10th Block,46,14,2fy,POINT (77.56907 12.85593)
Anjanapura 1st Block,2,1,2ix,POINT (77.54817 12.86001)
Anjanapura 2nd Block,6,2,3m0,POINT (77.55245 12.86573)
Anjanapura 2nd Block Cross (LBSN),10,2,48b,POINT (77.55939 12.86054)
Anjanapura 2nd Block Cross (LBSN),17,1,4sq,POINT (77.55945 12.86053)
Anjanapura Cross,19,2,25o,POINT (77.56091 12.86183)
Anjanapura Cross,2,1,4u,POINT (77.56083 12.86183)
Anjaneya Temple Anekal,8,2,69w,POINT (77.70046 12.7173)
Anjaneya Temple Anekal,6,3,aj,POINT (77.70025 12.71729)
Anjaneya Temple Bidaraguppe,24,8,24p,POINT (77.78276 12.80131)
Anjaneya Temple Bidaraguppe,75,14,gs,POINT (77.78283 12.80086)
Anjaneya Temple Devanahalli,17,5,3mq,POINT (77.713 13.23506)
Anjaneya Temple Devanahalli,39,3,50,POINT (77.71302 13.2351)
Anjaneya Temple Madhure,11,6,2t5,POINT (77.44486 13.20998)
Anjaneya Temple Madhure,10,4,6bb,POINT (77.44487 13.20992)
Anjaneya Temple Nelamangala,385,35,12a,POINT (77.39777 13.09737)
Anjaneya Temple Nelamangala,340,42,ve,POINT (77.39774 13.09723)
Anjaneya Temple Thigalarapalya,226,9,1sm,POINT (77.48347 13.01372)
Anjaneya Temple Thigalarapalya,190,9,6cd,POINT (77.48343 13.01371)
Ankanahalli,9,2,278,POINT (77.79846 13.20433)
Ankanahalli,9,1,2j1,POINT (77.79838 13.20433)
Ankegowdana Doddy,3,1,58r,POINT (77.51733 12.70677)
Annahalli,2,1,142,POINT (77.38452 12.69958)
Annapoorneshwari nagara Cross,124,8,61m,POINT (77.49655 12.96998)
Annapoorneshwarinagara,8,4,497,POINT (77.50667 12.98002)
Annapoorneshwarinagara,6,2,5nm,POINT (77.50687 12.98077)
Annapoorneshwarinagara Cross,133,8,3x5,POINT (77.49658 12.97002)
Annapoorneshwarinagara Water Tank,26,2,1th,POINT (77.49702 12.97196)
Annapoorneshwarinagara Water Tank,24,2,2tp,POINT (77.49697 12.97203)
Annapurneshwari Badavane,29,7,1h5,POINT (77.50799 13.13879)
Annapurneshwari Badavane,43,7,5ym,POINT (77.50802 13.13874)
Annasandrapalya,4,1,2w5,POINT (77.67252 12.96444)
Annasandrapalya,2,1,5u4,POINT (77.67236 12.96444)
Annasandrapalya Cross,9,5,15p,POINT (77.66622 12.96039)
Annasandrapalya Cross,3,3,30y,POINT (77.66607 12.96044)
Anneshwara Circle,1,1,5s7,POINT (77.71058 13.21535)
Anubhavanagara,1,1,j8,POINT (77.5238 12.96778)
Anugondanahalli,3,1,3hs,POINT (77.81546 12.95716)
Anugondanahalli,3,1,my,POINT (77.81527 12.95726)
Anugondanahalli Cross,23,12,43r,POINT (77.81599 12.95895)
Anugondanahalli Cross,29,6,xj,POINT (77.81583 12.95894)
Anugraha Badavane (Bilekahalli),7,3,4vi,POINT (77.60892 12.90302)
Anupahalli,5,1,69h,POINT (77.85612 13.21548)
Aparel Park,93,10,12l,POINT (77.55193 13.27257)
Aparel Park,136,10,4f1,POINT (77.55205 13.27266)
Apex Bank,93,12,1g6,POINT (77.55602 12.94177)
Apex Bank,103,9,36h,POINT (77.55567 12.94183)
Apollo Hospital,506,59,22d,POINT (77.6 12.89662)
Apollo Hospital,177,35,5n1,POINT (77.59972 12.89635)
Appasandra,2,1,n8,POINT (77.89659 13.06317)
Aradeshanahalli,8,5,2dd,POINT (77.56361 13.22247)
Aradeshanahalli,5,5,44u,POINT (77.56364 13.22244)
Aradeshanahalli Gate,106,19,5nd,POINT (77.55258 13.21637)
Aradeshanahalli Gate,154,22,5p9,POINT (77.55266 13.21648)
Arahalli,2,1,2lb,POINT (77.9487 13.22301)
Arakere Byrapura,3,2,1q5,POINT (77.5393 13.20062)
Arakere Byrapura,3,3,4ez,POINT (77.53932 13.20064)
Arakere Gate,556,62,1no,POINT (77.59817 12.89053)
Arakere Gate,165,34,6m,POINT (77.59804 12.89057)
Aralalusandra,5,2,30j,POINT (77.45385 12.73311)
Aralalusandra Cross,8,3,545,POINT (77.46301 12.74341)
Aralimara (PK Kalyana Mantapa ),84,18,67u,POINT (77.62459 12.88003)
Aralimara (PK Kalyana Mantapa ),97,12,pi,POINT (77.62456 12.87985)
Aralimara Hosahalli,5,2,33s,POINT (77.64128 13.14043)
Aralimara Hosahalli,3,1,fz,POINT (77.64126 13.14039)
Aralimara Industrial Area  Rajajinagara,121,5,1yw,POINT (77.54909 12.97859)
Aralimara Industrial Area  Rajajinagara,119,9,1z8,POINT (77.54871 12.97857)
Aralimara Sunkadakatte,72,4,31u,POINT (77.50467 12.99209)
Aralimara Ullalu,1,1,338,POINT (77.48731 12.95768)
Aralimaradapalya Cross,8,2,30o,POINT (77.35998 12.92663)
Aralimaradapalya Cross,3,1,4cm,POINT (77.36 12.92656)
Aralumallige,4,1,4gf,POINT (77.50939 13.27367)
Aralumallige,2,1,9t,POINT (77.50935 13.27372)
Aralumallige Cross,2,1,641,POINT (77.51161 13.26702)
Arasanahalli,9,2,23d,POINT (77.79737 13.20148)
Arasanahalli,4,1,4dm,POINT (77.88863 12.96478)
Arasanahalli,9,1,yg,POINT (77.79732 13.20152)
Arathipalya,6,4,3ht,POINT (77.42593 13.03724)
Aravinda Limited,38,5,250,POINT (77.67016 12.81475)
Aravinda Limited,102,8,is,POINT (77.67002 12.81485)
Arch Lingadeeranahalli,244,9,1e8,POINT (77.48872 12.99961)
Arch Lingadeeranahalli,206,9,3,POINT (77.48869 12.99962)
Arch Railway Gollahalli,41,12,3ff,POINT (77.41192 13.1482)
Arch Railway Gollahalli,14,8,4bj,POINT (77.41187 13.14818)
Archakara Badavane,6,1,45n,POINT (77.45255 12.91878)
Archakara Badavane,1,1,5gh,POINT (77.45237 12.91876)
Are Bannimangala,8,4,339,POINT (77.71759 13.154)
Are Bannimangala,8,3,6bj,POINT (77.71757 13.15398)
Arebic College,171,27,51q,POINT (77.62121 13.03049)
