name,trip_count,route_count,id,geometry
Mandigere,1,1,319,POINT (77.36964 13.16464)
Mandur,104,17,2h1,POINT (77.73827 13.08153)
Mandur,112,18,4o5,POINT (77.73818 13.08157)
Mangammanapalya,8,2,2j3,POINT (77.63524 12.90725)
Mangammanapalya,146,2,35n,POINT (77.63505 12.90725)
Manganahalli,11,3,54w,POINT (77.46934 12.95419)
Manganahalli,5,2,66a,POINT (77.46935 12.95415)
Manganahalli Cross,164,6,4y7,POINT (77.48407 12.9527)
Manganahalli Cross,95,8,m2,POINT (77.48418 12.95265)
Maniksha Parade Ground,217,43,3xt,POINT (77.60747 12.97773)
Maniksha Parade Ground,180,33,zg,POINT (77.60771 12.97746)
Manipal Centre,3,2,49y,POINT (77.61452 12.97585)
Manipal Centre,82,15,4ep,POINT (77.61436 12.97493)
Manipal Centre MG Road,212,33,4c9,POINT (77.61356 12.97552)
Manipal Centre MG Road,165,29,67q,POINT (77.61358 12.97571)
Manjunatha Kalyana Mantapa,1,1,10w,POINT (77.53825 12.87459)
Manjunatha Kalyana Mantapa,37,4,3af,POINT (77.53819 12.87474)
Manjunatha Nagara,83,8,2nc,POINT (77.40374 12.96436)
Manjunatha Nagara,55,4,4jo,POINT (77.40378 12.96433)
Manjunatha Nagara,119,9,56y,POINT (77.55068 12.99548)
Manjunatha Nagara,124,8,5ki,POINT (77.55068 12.99593)
Manjunatha Nagara,38,1,5u7,POINT (77.54288 12.99145)
Manjunatha Nagara,1,1,68u,POINT (77.54296 12.99156)
Manjunatha Nagara,6,5,699,POINT (77.4811 12.98205)
Manjunatha Nagara,6,2,wz,POINT (77.48112 12.98212)
Manjunatha Nagara Layout Cross,5,1,2ok,POINT (77.72011 13.01858)
Manjunatha Nagara Layout Cross,4,2,5pc,POINT (77.72009 13.0186)
Manjushree Garments PSS,3,2,4uw,POINT (77.49938 13.01393)
Manjushree Hospital,4,1,4l5,POINT (77.60704 13.02138)
Manorayanapalya,3,2,4im,POINT (77.60169 13.02889)
Manorayanapalya,32,3,61b,POINT (77.60169 13.02903)
Mantanakurchi,1,1,2gw,POINT (77.38459 13.0443)
Mantanakurchi,3,3,88,POINT (77.38411 13.04352)
Mantapa Cross,197,38,35o,POINT (77.59614 12.80306)
Mantapa Cross,78,19,550,POINT (77.59627 12.80281)
Mantri Alpyne Apartment,50,4,14d,POINT (77.5271 12.90449)
Mantri Alpyne Apartment,99,10,28t,POINT (77.52725 12.90453)
Mantri Green Apartment Sampige Talkies,2,2,sq,POINT (77.57045 12.99319)
